label,count
Carbohydrate (g),48.5
Fat (g),1
Protein (g),24
Fibre (g),11.5
Water (g),12
Monosaccharides (g),0.3
Disaccharides (g),2.1
Sucrose (g),2.1
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.15
Sum of monounsaturated fatty acids (g),0.18
Sum of polyunsaturated fatty acids (g),0.47
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.34
Vitamin K (µg),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.6
Vitamin B-12 (µg),0
Phosphorus (mg),375
Iodide (µg),0.7
Iron (mg),6.8
Potassium (mg),790
Magnesium (mg),80
Sodium (mg),30
Salt (g),0.08
Selenium (µg),11
Zinc (mg),3.1
